# Title: Precious Metals in SDSS Quasar Spectra I: Tracking the Evolution 
#        of Strong, 1.5 < z < 4.5 C IV Absorbers with Thousands of Systems  
# Authors: Cooksey K.L., Kao M.M., Simcoe R.A., O'Meara J.M., Prochaska J.X. 
# Table: Sightline Summary
# ================================================================================
# Byte-by-byte Description of file: apj453982t2_mrt.txt
# --------------------------------------------------------------------------------
#    Bytes Format Units  Label    Explanations
# --------------------------------------------------------------------------------
#   1- 14 A14    ---    QSO      Adopted QSO identifier (1)
#  16- 17 I2     h      RAh      Hour of Right Ascension (J2000) (2)
#  19- 20 I2     min    RAm      Minute of Right Ascension (J2000) (2)
#  22- 26 F5.2   s      RAs      Second of Right Ascension (J2000) (2)
#      28 A1     ---    DE-      Sign of the Declination (J2000) (2)
#  29- 30 I2     deg    DEd      Degree of Declination (J2000) (2)
#  32- 33 I2     arcmin DEm      Arcminute of Declination (J2000) (2)
#  35- 38 F4.1   arcsec DEs      Arcsecond of Declination (J2000) (2)
#  40- 45 F6.4   ---    zQSO     QSO redshift (2)
#  47- 51 F5.2   pix-1  <S/N>    Median signal-to-noise (3)
#  53- 54 I2     ---    fBAL     Binary BAL flag (4) 
#  56- 59 F4.2   ---    DelXmax  Maximum co-moving pathlength available (5) 
#  61- 62 I2     ---    Num      Number of candidate C IV doublets
#  64- 64 I1     ---    NumCIV   Number of confirmed C IV doublets
#  66- 70 F5.3   ---    delXCIV  ? Pathlength blocked by NumCIV doublets (5)
# --------------------------------------------------------------------------------
# Note (1): From the spectroscopic modified Julian date, plate, and fiber number.
# Note (2): From the DR7 QSO catalog (Schneider et al. 2010).
# Note (3): In the region searched for CIV.
# Note (4): Indicates which sightlines were considered BALs by at least one 
#           author (4) and which were confirmed by the authors as BALs to 
#          exclude (8).
# Note (5): In the sightline.
# --------------------------------------------------------------------------------
52235-0750-082 00 00 09.38 +13 56 18.4 2.2342  5.94  0 1.33  0 0       
52143-0650-199 00 00 09.42 -10 27 51.9 1.8449  4.68  0 0.83  1 1 0.028 
52203-0685-198 00 00 14.82 -01 10 30.7 1.8877  5.16  0 1.24  0 0       
52203-0685-439 00 00 15.47 +00 52 46.8 1.8516  8.64  0 2.16  0 0       
54389-2822-315 00 00 24.83 +24 57 03.3 3.2137  9.21  0 1.48  0 0       
51791-0387-167 00 00 39.00 -00 18 03.9 2.1249  6.61  0 1.75  0 0       
52143-0650-178 00 00 50.60 -10 21 55.9 2.6404  8.68  0 1.56  4 2 0.083 
52203-0685-154 00 00 53.17 -00 17 32.9 2.7571  7.55  0 1.15  0 0       
52902-1091-546 00 00 57.58 +01 06 58.6 2.5551 11.83  0 1.78  3 2 0.084 
51791-0387-093 00 00 58.22 -00 46 46.5 1.8973 13.27  0 0.84  1 1 0.037 
52203-0685-134 00 01 25.14 +00 00 09.4 1.9739  5.32  0 1.52  0 0       
52991-1489-104 00 01 35.51 -00 42 06.7 3.5816  4.09  0 1.35  0 0       
52235-0750-541 00 01 39.42 +15 26 24.1 1.7892  4.39  0 1.20  0 0       
52235-0750-550 00 01 43.41 +15 20 21.4 2.6383  8.02  0 2.72  1 1 0.069 
52143-0650-519 00 01 59.12 -09 47 12.5 2.3077 10.77  0 1.15  0 0       
54327-2630-269 00 02 11.76 -05 29 08.4 2.8000  9.22  0 1.69  0 0       
52203-0685-105 00 02 12.07 -00 53 09.1 2.2122  7.53  0 2.80  0 0       
54327-2630-233 00 02 16.66 -05 30 07.6 3.1592  6.47  0 1.81  0 0       
54389-2822-423 00 02 20.64 +25 03 40.0 2.7668 16.83  0 1.47  1 1 0.042 
51791-0387-556 00 02 21.11 +00 21 49.3 3.0699 13.13  0 2.17  1 0       
52235-0750-553 00 02 21.80 +15 14 54.5 1.8249 11.52  0 1.42  0 0       
54327-2630-237 00 02 27.68 -05 10 22.3 2.8034 12.38  0 1.72  1 0       
52143-0650-111 00 02 38.41 -10 11 49.8 3.9383  8.73  0 1.52  0 0       
54452-2824-187 00 02 49.78 +27 09 40.1 2.2546  6.26  0 1.28  2 0       
54327-2630-423 00 02 55.92 -04 24 02.1 2.7251  5.14  0 1.77  4 1 0.033 
52235-0750-608 00 03 00.34 +16 00 27.6 3.6983 11.21  0 1.91  0 0       
54452-2824-554 00 03 15.86 +29 02 23.5 2.5566  4.01  0 0.65  8 5 0.241 
52143-0650-561 00 03 19.86 -09 01 56.1 1.7593  4.65  0 1.18  1 1 0.029 
52991-1489-581 00 03 26.67 +00 11 57.1 1.8536  9.39  0 0.76  2 1 0.085 
52519-0686-356 00 03 30.19 +00 08 13.2 2.5684  7.81  0 2.22  1 0       
52203-0685-567 00 03 38.57 +00 04 32.0 2.0921 10.41  0 1.48  2 2 0.096 
54327-2630-472 00 03 41.76 -04 45 35.8 2.4068  5.80  0 0.62  5 4 0.175 
54327-2630-165 00 04 02.02 -05 31 04.4 2.9568  8.06  0 1.44  0 0       
52143-0650-604 00 04 13.64 -08 55 29.6 2.4241  4.42  0 2.88  1 1 0.033 
52203-0685-034 00 04 16.46 -00 53 00.7 2.0052 12.99  0 1.48  0 0       
54452-2824-537 00 04 16.74 +28 27 42.0 2.2170  6.72  0 3.41  1 1 0.050 
52143-0650-609 00 04 22.29 -09 02 19.4 1.8589  9.09  0 1.00  2 1 0.036 
52143-0650-605 00 04 24.16 -08 50 48.0 2.4277  7.84  0 1.41  1 1 0.046 
54389-2822-446 00 04 53.27 +26 05 54.6 2.8501  9.52  0 1.55  0 0       
54327-2630-528 00 05 00.07 -03 32 28.1 2.4862  6.35  0 1.42  1 1 0.071 
51793-0388-303 00 05 00.42 -00 33 48.2 2.1733  9.54  0 1.67  0 0       
52994-1490-368 00 05 00.53 +01 02 20.8 2.1192 17.67  0 1.56  1 1 0.049 
52143-0650-621 00 05 10.83 -09 25 34.9 1.8603  8.57  0 1.40  2 1 0.032 
52903-1090-231 00 05 29.13 -00 50 01.6 2.1154  9.42  0 0.96  0 0       
52251-0751-207 00 05 36.38 +13 59 49.4 3.6864 16.35  0 1.77  3 0       
52519-0686-258 00 05 41.88 -01 04 11.0 2.1119  7.39  0 0.79  0 0       
54389-2822-142 00 05 45.91 +24 45 32.3 2.7382 21.39  0 1.80  0 0       
51793-0388-268 00 05 46.48 -00 24 13.9 1.7297  7.32  0 1.55  0 0       
52141-0651-299 00 05 49.80 -11 05 59.0 2.3411  7.09  0 1.43  0 0       
54389-2822-451 00 06 02.20 +25 52 31.3 1.7888  9.18  0 1.39  3 2 0.121 
52903-1090-183 00 06 04.98 -01 14 59.3 2.5003 10.29  0 0.82  1 0       
52141-0651-258 00 06 12.32 -10 43 10.6 1.7353  6.05  0 0.78  0 0       
52994-1490-469 00 06 13.99 +00 26 04.9 2.5175  7.38  0 1.56  0 0       
52141-0651-429 00 06 29.29 -09 35 50.9 1.7568 11.96  0 1.21  0 0       
52519-0686-477 00 06 39.16 +00 28 20.9 2.2029  6.58  0 1.37  0 0       
51793-0388-234 00 06 54.10 -00 15 33.4 1.7244  6.02  0 1.14  3 2 0.092 
52519-0686-190 00 06 59.29 -00 17 40.9 2.0364  9.06  0 2.73  0 0       
52251-0751-513 00 07 24.08 +15 16 57.6 2.0644  7.72  0 1.82  0 0       
51793-0388-463 00 07 25.18 +00 36 45.0 2.0330  6.54  0 2.79  0 0       
52251-0751-562 00 07 30.82 +16 07 32.5 3.5014  6.56  0 1.44  0 0       
52141-0651-417 00 07 35.52 -08 54 35.1 1.7758 16.09  0 2.03  0 0       
52519-0686-444 00 07 38.53 +00 58 35.4 1.8482 10.23  0 1.46  0 0       
52251-0751-557 00 07 59.40 +15 08 22.6 1.9640  6.06  0 2.13  0 0       
52141-0651-197 00 08 07.28 -10 39 42.8 2.4585  5.58  0 1.51  2 1 0.066 
54327-2630-073 00 08 09.21 -04 55 10.4 2.7944  5.40  0 0.65  1 1 0.041 
52141-0651-494 00 08 15.33 -09 58 54.3 1.9516 12.52  0 1.47  4 2 0.082 
52994-1490-147 00 08 22.07 -00 23 02.8 3.1013  5.22  0 0.88  0 0       
54327-2630-074 00 08 26.77 -05 06 36.4 2.1721  8.22  0 1.49  1 0       
51793-0388-083 00 08 38.29 -00 51 56.8 2.8917  9.36  0 0.68  0 0       
52519-0686-082 00 08 39.31 -00 53 36.8 2.6195 23.00  0 1.31  2 1 0.030 
52519-0686-503 00 08 44.70 +00 25 50.5 2.1214 14.19  0 3.31  2 1 0.026 
51793-0388-098 00 09 04.41 -00 43 32.8 1.8286  4.81  0 2.17  0 0       
52994-1490-542 00 09 06.93 +00 32 52.6 2.6246 17.92  0 2.10  1 0       
52519-0686-502 00 09 10.85 +00 40 28.6 1.7886 12.03  0 2.81  0 0       
52903-1090-581 00 09 12.08 +00 58 18.2 2.6772 17.78  0 0.71  0 0       
52519-0686-523 00 09 12.69 +01 09 19.0 2.4704  7.47  0 1.77  0 0       
52251-0752-343 00 09 19.26 +15 23 55.1 1.9398 11.49  0 1.57  0 0       
52994-1490-580 00 09 20.01 +00 56 18.4 2.3873  8.40  0 0.65  2 2 0.076 
52141-0651-523 00 09 22.40 -08 48 39.6 2.3242 12.72  0 1.41  3 0       
52141-0651-090 00 09 49.10 -10 58 10.8 2.0699  6.65  0 0.83  0 0       
52251-0751-016 00 09 50.51 +14 10 02.1 3.1506  6.67  0 2.77  2 1 0.072 
54389-2822-635 00 10 13.49 +25 26 21.4 2.6983 13.45  0 0.72  3 0       
52996-1491-395 00 10 16.49 +00 12 27.6 2.2761  7.84  0 1.58  1 0       
52138-0652-316 00 10 17.51 -10 02 38.9 1.8195  6.54  0 1.34  0 0       
51793-0388-607 00 10 17.80 +01 04 50.7 1.8194 20.23  0 1.42  0 0       
