      0650-199-52143 1.7910   C 1  0.8 1
      0685-198-52203 1.6012   B 1  0.5 0
      2822-315-54389 2.1252   A 1  1.0 1
      0650-178-52143 1.7322  C* 1  0.6 0
      0650-178-52143 2.1635   A 1  0.8 0
      0650-178-52143 1.9805   B 1  0.8 1
      0650-178-52143 1.5376   C 1  0.8 1
      0685-154-52203 1.5587  C* 1  0.5 0
      1091-546-52902 1.7487   C 1  0.8 1
      0387-093-51791 2.4185   B 1  0.9 0
      0387-093-51791 3.2272   A 1  0.9 1
      0685-134-52203 2.1114   D 1  0.3 0
      1489-104-52991 2.0543   B 1  1.0 1
      0750-541-52235 1.6477   A 1  0.9 1
      2630-233-54327 1.7773   A 1  1.0 1
      2630-233-54327 1.8920   A 1  1.0 1
      2630-233-54327 2.8512   D 1  0.3 0
      2822-423-54389 1.7437   A 1  1.0 1
      2822-423-54389 1.7150   B 1  0.8 0
      2824-187-54452 2.2857   A 1  1.0 1
      2630-423-54327 2.2832   C 1  0.9 1
      0750-608-52235 1.9367   E 1  0.3 0
      2824-554-54452 2.0406   C 1  0.9 1
      2824-554-54452 3.2716   B 1  0.8 1
      2824-554-54452 1.9163   D 1  0.5 1
      2824-554-54452 3.7714   A 1  0.8 1
      2824-554-54452 2.2602   B 1  0.8 1
      2824-554-54452 1.9873   A 1  0.7 1
      2824-554-54452 2.2249   B 1  1.0 0
      0650-561-52143 2.5787   D 1  0.5 1
      1489-581-52991 2.6935   A 1  0.6 1
      1489-581-52991 2.9319   E 1  0.6 1
      1489-581-52991 2.1484   A 1  0.8 1
      0686-356-52519 1.9086   D 1  0.3 0
      0685-567-52203 2.0827   C 1  0.3 1
      0685-567-52203 3.4235   A 1  0.9 0
      2630-472-54327 1.9555   C 1  0.9 1
      2630-472-54327 1.9909   B 1  0.9 1
      2630-472-54327 1.7810   D 1  0.5 0
      0650-604-52143 2.9506   C 1  0.7 1
      0650-604-52143 2.3444   B 1  1.0 1
      0685-034-52203 2.1097   A 1  1.0 1
      2824-537-54452 2.0732  C* 1  0.8 1
      0650-609-52143 1.6050  C* 1  0.5 1
      0650-609-52143 1.8743   A 1  0.9 1
      0650-609-52143 1.7161  C* 1  0.6 1
      0650-605-52143 2.3329   C 1  0.6 1
      2630-528-54327 1.9298   B 1  1.0 1
      2630-528-54327 2.0240  C* 1  0.6 1
      1490-368-52994 1.6178   C 1  0.6 0
      2822-142-54389 1.6410   B 1  0.8 0
      2822-142-54389 1.6889   C 1  0.9 1
      0651-299-52141 1.9154   C 1  0.6 0
      2822-451-54389 1.7899   A 1  1.0 1
      2822-451-54389 2.0593   C 1  0.8 1
      0751-513-52251 1.9599   B 1  0.9 1
      0388-463-51793 1.8237   A 1  0.9 1
      0751-562-52251 2.1241   E 1  0.6 0
      0751-562-52251 2.0626   B 1  0.9 1
      0651-417-52141 2.3216   C 1  0.3 1
