      0751-354-52251 1.7679   A 1  1.0 1
      0750-082-52235 1.2089   D 1  0.1 0
      0650-199-52143 1.1417   D 1  0.1 0
      0650-199-52143 0.7756   E 1  0.0 0
      0650-199-52143 1.5687   B 1  0.5 0
      0650-459-52143 0.4879   D 1  0.1 0
      0387-167-51791 0.7852   D 1  0.1 0
      0387-167-51791 0.6952   B 1  0.4 1
      0387-167-51791 0.4203   D 1  0.0 0
      0387-167-51791 1.7492   A 1  1.0 1
      0387-167-51791 0.9919   C 1  0.8 0
      0387-167-51791 1.7554   C 1  0.1 0
      0387-167-51791 0.8661   B 1  1.0 1
      0387-167-51791 0.7055   E 1  0.0 0
      0387-167-51791 0.5199   B 1  0.9 1
      0387-531-51791 0.8610   D 1  0.0 0
      0650-178-52143 0.7883   C 1  0.9 1
      0650-178-52143 0.4246   C 1  0.1 0
      0650-178-52143 1.4152   C 1  0.8 1
      0751-355-52251 0.9912   D 1  0.4 0
      0387-098-51791 0.6682   B 1  0.9 1
      0387-098-51791 0.8038   A 1  1.0 1
      0387-098-51791 1.4706   A 1  0.6 0
      0387-098-51791 0.9832   C 1  0.6 0
      0387-098-51791 1.6079   B 1  0.6 1
      0387-098-51791 1.4523   A 1  0.9 1
      0387-093-51791 1.5108   B 1  0.3 0
      0650-133-52143 1.4295   D 1  0.0 0
      0750-566-52235 1.2796   C 1  0.8 1
      0750-566-52235 0.7081  C* 1  0.2 0
      0750-566-52235 0.4152   C 1  0.3 1
      0650-128-52143 1.4937   A 1  1.0 1
      0387-514-51791 0.9722   A 1  1.0 1
      0387-514-51791 1.8002   C 1  0.1 0
      0750-550-52235 0.8613   C 1  0.6 1
      0750-550-52235 1.4397   B 1  0.5 0
      0750-550-52235 1.3489   C 1  0.8 1
      0387-556-51791 0.6247   E 1  0.0 0
      0750-553-52235 0.9130   B 1  1.0 1
      0750-553-52235 1.7955   B 1  0.4 1
      0750-553-52235 0.6774   D 1  0.1 0
      0750-553-52235 0.4808   D 1  0.0 0
      0387-111-51791 0.6775   C 1  0.1 0
      0387-575-51791 1.0545   A 1  1.0 1
      0650-048-52143 0.8104   A 1  1.0 1
      0750-615-52235 0.4964   B 1  0.8 1
      0750-615-52235 0.5588   B 1  0.9 1
      0650-604-52143 0.3774   E 1  0.2 0
      0650-001-52143 1.3432   A 1  0.7 1
      0650-609-52143 1.8927   B 1  0.6 1
      0650-605-52143 0.4603   C 1  0.4 0
      0650-605-52143 0.6038   C 1  0.8 1
      0388-289-51793 1.3642   C 1  0.8 1
      0388-289-51793 0.4511   C 1  0.5 1
      0388-303-51793 1.3383  C* 1  0.9 0
      0388-303-51793 1.3346  C* 1  0.0 0
      0388-303-51793 1.8336   A 1  1.0 1
      0388-303-51793 1.5465   D 1  0.1 0
      0388-303-51793 1.7293   C 1  0.1 0
      0388-303-51793 2.0113   D 1  0.0 0
      0651-266-52141 0.5763   E 1  0.1 0
      0650-613-52143 0.7386   E 1  0.1 0
      0651-332-52141 1.7678   A 1  1.0 1
      0751-207-52251 0.4827   D 1  0.1 0
      0651-328-52141 1.8155   D 1  0.1 0
      0651-299-52141 0.4458   B 1  1.0 0
      0651-299-52141 1.8534   D 1  0.0 0
      0651-299-52141 1.1562   D 1  0.1 0
      0751-190-52251 0.6130   C 1  0.0 0
      0751-529-52251 0.4584   C 1  0.9 1
      0651-429-52141 1.7106   A 1  0.9 1
      0751-181-52251 0.9286   A 1  1.0 1
      0388-234-51793 1.5389   C 1  0.7 1
      0388-234-51793 0.7419   E 1  0.1 0
      0388-234-51793 1.8350  E* 1  0.1 0
      0751-508-52251 1.7738   B 1  0.1 0
      0388-430-51793 1.9630   E 1  0.0 0
      0751-513-52251 0.4571   E 1  0.2 0
      0388-463-51793 1.1841   C 1  1.0 0
      0651-196-52141 1.2747   A 1  1.0 1
      0651-196-52141 1.2908   A 1  1.0 1
      0751-553-52251 0.4204   C 1  0.1 0
      0651-197-52141 0.8914   A 1  1.0 1
      0651-197-52141 0.9190   A 1  1.0 1
      0388-499-51793 0.5737  C* 1  0.1 0
      0751-589-52251 1.8268   E 1  0.0 0
      0752-356-52251 1.2159   B 1  0.9 0
