# plate-fiber-mjd z_abs rEW_MgII rEWerr_MgII wlim_Chicago Wobs_MgII grade_chicago, type_chicago, z_qso_dr7 rEW_MgII_chicago rEWerr_MgII_chicago
      1329-240-52767 1.023090 2.411163 0.326728 0.300000 5657.368876  C    M 1.547500 2.411163 0.326728
      1329-596-52767 2.010900 1.705470 0.212561 0.150000 8419.680760  C    M 2.136200 1.705470 0.212561
      1329-635-52767 0.844930 0.638507 0.150683 0.340000 5159.162252  D    M 3.136600 0.638507 0.150683
      1329-564-52767 0.547000 0.455074 0.089851 0.130000 4326.030800  C    M 0.739600 0.455074 0.089851
      1329-461-52767 0.509550 1.097678 0.170249 0.620000 4221.305620  C    M 0.509300 1.097678 0.170249
      1329-484-52767 0.419330 0.570692 0.141616 0.280000 3969.014412  D    M 1.148900 0.570692 0.141616
      1329-412-52767 0.639790 0.409809 0.098793 0.170000 4585.508756  D    M 0.894100 0.409809 0.098793
      1329-301-52767 1.564830 2.038342 0.196114 0.230000 7172.290612  B    M 3.876100 2.038342 0.196114
      1329-178-52767 0.730520 0.501583 0.125396 0.230000 4839.226128  D    M 1.927500 0.501583 0.125396
      1329-445-52767 1.283650 0.599917 0.142316 0.260000 6385.998860  C    M 1.343900 0.599917 0.142316
      1329-434-52767 0.838130 0.447738 0.107718 0.240000 5140.146732 C*    M 1.832300 0.447738 0.107718
      1329-434-52767 1.787500 0.902601 0.222063 0.200000 7794.965000  D    M 1.832300 0.902601 0.222063
      1329-434-52767 1.817960 1.263680 0.218953 0.200000 7880.143344  A    M 1.832300 1.263680 0.218953
      1329-184-52767 1.213010 0.709893 0.176682 0.220000 6188.461164  B    M 2.375500 0.709893 0.176682
      1329-184-52767 1.984950 0.865006 0.198998 0.180000 8347.114180  C    M 2.375500 0.865006 0.198998
       540-251-51996 1.625870 0.867903 0.177465 0.170000 7342.982868  C    M 3.012500 0.867903 0.177465
       540-245-51996 1.352220 1.413558 0.109684 0.180000 6577.748008  A   MF 1.372200 1.413558 0.109684
       540-539-51996 0.634130 0.805933 0.089956 0.140000 4569.681132  D    M 0.631700 0.805933 0.089956
       540-449-51996 1.928820 0.430207 0.104820 0.100000 8190.152248  C    M 2.046800 0.430207 0.104820
       540-332-51996 1.015110 1.420270 0.330503 0.390000 5635.053604  D    M 1.668000 1.420270 0.330503
       540-491-51996 0.372190 1.829193 0.440901 0.600000 3837.192116  C    M 1.166000 1.829193 0.440901
       540-196-51996 0.374060 1.157882 0.240164 0.190000 3842.421384  D    M 1.003900 1.157882 0.240164
       540-295-51996 0.773320 0.453387 0.106580 0.280000 4958.912048  C    M 1.190000 0.453387 0.106580
       540-247-51996 1.358450 0.539337 0.080561 0.140000 6595.169580  C    M 2.283500 0.539337 0.080561
       977-343-52410 0.726950 0.576160 0.139552 0.360000 4829.242980  B    M 2.175400 0.576160 0.139552
       977-403-52410 0.820720 1.125928 0.272420 0.490000 5091.461408  C    M 1.180700 1.125928 0.272420
       977-345-52410 0.586020 0.576285 0.125471 0.300000 4435.146328  C    M 0.607300 0.576285 0.125471
       977-313-52410 1.644540 0.600483 0.128945 0.230000 7395.191656 C*    M 1.671100 0.600483 0.128945
       977-313-52410 1.651130 0.577867 0.135414 0.230000 7413.619932  B    M 1.671100 0.577867 0.135414
       977-188-52410 0.912690 0.545828 0.111884 0.230000 5348.646316  C    M 1.831400 0.545828 0.111884
       977-265-52410 1.083320 0.617764 0.105121 0.330000 5825.796048  D    M 1.385700 0.617764 0.105121
       977-378-52410 1.980580 1.659073 0.178489 0.230000 8334.893912  E    M 2.185300 1.659073 0.178489
       977-378-52410 1.983020 1.982219 0.291316 0.230000 8341.717128  C    M 2.185300 1.982219 0.291316
       977-378-52410 1.987310 1.217818 0.273155 0.230000 8353.713684  C    M 2.185300 1.217818 0.273155
       977-245-52410 0.645890 0.583879 0.123945 0.140000 4602.566796  D    M 1.962300 0.583879 0.123945
        891-24-52584 0.519180 0.438394 0.069774 0.130000 4248.234952 E*    M 1.740800 0.438394 0.069774
       891-610-52584 1.531810 0.276877 0.065961 0.090000 7079.953484  A    M 1.553400 0.276877 0.065961
       891-326-52584 1.468910 0.807239 0.201708 0.260000 6904.059924  D    M 2.859900 0.807239 0.201708
       891-326-52584 1.488940 0.582176 0.141426 0.260000 6960.071816  C    M 2.859900 0.582176 0.141426
       891-326-52584 2.111800 2.479272 0.629539 0.450000 8701.837520  A   CF 2.859900 2.479272 0.629539
       891-540-52584 0.458250 0.759129 0.182410 0.300000 4077.850300  C    M 1.656900 0.759129 0.182410
