# plate-fiber-mjd z_abs rEW_MgII rEWerr_MgII z_abs_chicago rEW_MgII_chicago rEWerr_MgII_chicago, grade_chicago, type_chicago, z_qso_dr7 rEW_MgII_chicago rEWerr_MgII_chicago
      1329-475-52767 0.765400 0.863000 0.139000 0.764910 0.723550 0.137684  B    M 1.002000 0.723550 0.137684
      1329-154-52767 0.837100 0.910000 0.143000 0.836630 0.885862 0.157898  C    M 1.073500 0.885862 0.157898
      1329-559-52767 1.121500 1.237000 0.065000 1.121000 1.346535 0.081565  A   MF 1.187200 1.346535 0.081565
      1329-559-52767 1.154600 0.483000 0.060000 1.154080 0.493018 0.074742  A    M 1.187200 0.493018 0.074742
       1329-55-52767 0.803300 1.120000 0.128000 0.802840 1.387810 0.167513  B    M 1.788000 1.387810 0.167513
      1329-178-52767 1.037000 1.283000 0.162000 1.036730 1.415504 0.202285  B    M 1.927500 1.415504 0.202285
       540-251-51996 1.385500 1.962000 0.093000 1.384980 2.005048 0.122852  A   MF 3.012500 2.005048 0.122852
       540-449-51996 0.570700 0.633000 0.072000 0.570340 0.678834 0.084695  C    M 2.046800 0.678834 0.084695
       540-495-51996 0.857300 1.405000 0.041000 0.856910 1.389944 0.056007  A   MF 1.741400 1.389944 0.056007
       540-495-51996 1.600900 0.605000 0.060000 1.600230 0.653404 0.074224  A    M 1.741400 0.653404 0.074224
       540-298-51996 1.502200 0.744000 0.071000 1.501630 0.667565 0.089941  A    M 1.545300 0.667565 0.089941
       540-471-51996 1.377300 0.807000 0.129000 1.376760 0.747236 0.152308  C    M 1.447400 0.747236 0.152308
       540-471-51996 1.407100 0.828000 0.088000 1.406500 0.791606 0.105547  C    M 1.447400 0.791606 0.105547
       540-427-51996 1.634200 0.775000 0.090000 1.633870 0.853877 0.106307  A   MC 1.773000 0.853877 0.106307
       540-568-51996 1.340800 0.362000 0.073000 1.340290 0.394396 0.086741  C    M 1.469600 0.394396 0.086741
       540-204-51996 0.511600 1.145000 0.134000 0.511230 1.390920 0.172707  C    M 1.244500 1.390920 0.172707
       540-247-51996 0.860200 0.523000 0.066000 0.859600 0.443644 0.067219  D    M 2.283500 0.443644 0.067219
       540-247-51996 1.934900 0.819000 0.109000 1.933720 1.012026 0.150321  A   MC 2.283500 1.012026 0.150321
       540-310-51996 1.145300 1.123000 0.143000 1.144640 1.559702 0.206561  A   MF 1.512600 1.559702 0.206561
       540-567-51996 1.403500 2.338000 0.117000 1.403090 2.511350 0.141901  A   MF 2.047500 2.511350 0.141901
       540-567-51996 1.540700 1.192000 0.103000 1.539860 1.165812 0.125991  A   MC 2.047500 1.165812 0.125991
       977-159-52410 1.233300 3.216000 0.236000 1.232770 3.436538 0.290670  A    M 1.457500 3.436538 0.290670
